,user,collateral,debt,available_borrow,threshold,ltv,healthf,amount,ethdebt,emode,cbeth_collateral,reth_collateral,reth_price,cbeth_price,eth_price,steth_price,collateral_reth_calc,collateral_cbeth_calc,collateral_steth_calc,ethdebt_calc,diff_collateral,diff_debt
378,0x5ccd3d48e4fd0f2f0fd717b7c7f1f721cdfc3802,17569.36593323,5492.92460029,662993789364,8000,6900,2.55883591517676,9.051453958768164,0.0,0,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,17572.71350386732,0.0,0.0001905345161595127,1.0
379,0x645ea54c1c1eb4f4435c0259da65a76eeaa94bb1,17535.71513026,1000.77944715,1109886399273,8000,6900,14.017646089915507,9.034117607822296,0.0,0,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,17539.056289262684,0.0,0.00019053451643491064,1.0
380,0xf2dda5c53898e55a474cbbbc3ea22283c678aa57,17529.30036558,1213.4523345,1088176491775,8000,6900,11.55664700932676,9.03081282451998,0.0,0,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,17532.640302347376,0.0,0.00019053451636527176,1.0
381,0x84ac9de807cefa7205b53108c705744da523f901,22545.7003968,4002.09258177,1074279547774,7730,6540,4.354678471486589,9.002004414863052,0.0,0,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,17476.71095312798,0.0,0.2248317574729895,1.0
382,0x5a60c6a64994488ab02e238a6bbfb2d19dc2aef7,20372.94432399,6005.34729546,840647351933,8045,7074,2.7292399427158442,8.900836317969853,0.0,0,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,17280.300742068626,0.0,0.1518015036383158,1.0
383,0xc609b5595e38acbdde1672f9b482db823f51668a,17268.80497172,11710.93617498,20453925551,8000,6900,1.1796703330085045,8.896609799040649,0.0,0,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,17272.095275123767,0.0,0.00019053451638110556,1.0
385,0x894b87dfb9e79082d2d0ac7c16ce40658afd42d1,17220.72155552,7009.15379161,487314408170,8000,6900,1.965512193627517,8.871837998615897,0.0,0,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,17224.00269753103,0.0,0.00019053452553957701,1.0
386,0xc8e64c84d921c1820f39bd5adc26369ed7e8176b,17192.59321096,13830.35407803,164297981183,9300,9000,1.1560883832749633,8.857346729089803,8.042914262307054,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,17195.868993393622,13832.989237793954,0.0001905345164296662,0.0004187093288811796
387,0x8b7a6fec5c6638c1d667ef8126b457fec09376eb,43035.66424258,7539.77710487,2322211569573,7875,7148,4.494905501800552,8.393704669077145,0.0,0,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,16295.742988659005,0.0,0.6213432910712274,1.0
388,0x933a2ca5cb48f1dab0a0e517f667c240e42ad6fc,45328.52441683,5376.21517764,2662572306064,7845,7060,6.614360889589596,8.389608708217704,0.0,0,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,16287.790990335434,0.0,0.6406723757306348,1.0
