,user,collateral,debt,available_borrow,threshold,ltv,healthf,amount,ethdebt,emode,cbeth_collateral,reth_collateral,reth_price,cbeth_price,eth_price,steth_price,collateral_reth_calc,collateral_cbeth_calc,collateral_steth_calc,ethdebt_calc,diff_collateral,diff_debt,usdc,usdc_price,usdc_decimals,usdc_threshold,usdc_ethreshold,usdt,usdt_price,usdt_decimals,usdt_threshold,usdt_ethreshold,dai,dai_price,dai_decimals,dai_threshold,dai_ethreshold,lusd,lusd_price,lusd_decimals,lusd_threshold,lusd_ethreshold,usdc_debt,usdt_debt,dai_debt,lusd_debt,debt_stable_calc,diff_debt_stable,usdc_collateral,dai_collateral,collateral_stable_calc
10,0xa19085a92de036d782d955555d1b35b239992731,5813571.02461402,1700923.68879682,231044031818685,8000,6900,2.734312450537443,2995.058026868543,0.0,0,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,5814678.710555114,0.0,0.00019053451594618537,1.0,1700563833334.0,100021167,6,0.76,0,0.0,99974555,6,0,0,0.0,99990000,18,0.77,0,0.0,100695210,18,0,0,1700923.7916806021,0.0,0.0,0.0,1700923.7916806021,6.048700651029497e-08,0,0,0.0
11,0xc9cea6df3a736846c5b610ff342836838ec1a84d,5191181.36697751,1343457.80211417,223845734110031,8000,6900,3.091235978567106,2674.4129135549106,0.0,0,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,5192170.46620645,0.0,0.00019053451594504037,1.0,1343173573826.0,100021167,6,0.76,0,0.0,99974555,6,0,0,0.0,99990000,18,0.77,0,0.0,100695210,18,0,0,1343457.8833763718,0.0,0.0,0.0,1343457.8833763718,6.048734961484977e-08,0,0,0.0
12,0xefc9b8e8fcd4ace39bca9e999fde1bf73a961385,4791253.22093005,2415568.12108507,89039660135666,8000,6900,1.586791340424819,2468.3763830096236,0.0,0,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,4792166.120043276,0.0,0.00019053451594623586,1.0,0.0,100021167,6,0.76,0,0.0,99974555,6,0,0,0.0,99990000,18,0.77,0,0.0,100695210,18,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0
13,0x15ae76920e6c3570e13e443677a0503e6e95bf79,3428728.73337149,1107265.09863381,125855772739252,8000,6900,2.47725950188586,1766.4257426907218,0.0,0,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,3429382.0245410097,0.0,0.00019053451594496686,1.0,1107030853783.0,100021167,6,0.76,0,0.0,99974555,6,0,0,0.0,99990000,18,0.77,0,0.0,100695210,18,0,0,1107265.1790038203,0.0,0.0,0.0,1107265.1790038203,7.258425325751966e-08,0,0,0.0
14,0x3670e1bf4f566e1e73e9b575ad0b7d6761df9343,3268609.75420758,1767149.35800409,48819137239914,8000,6900,1.479720880140799,1683.935016288942,0.0,0,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,3269232.516142952,0.0,0.0001905280783581593,1.0,990241787203.0,100021167,6,0.76,0,776895785353.0,99974555,6,0,0,0.0,99990000,18,0.77,0,0.0,100695210,18,0,0,990451.3916820975,776698.1042204169,0.0,0.0,1767149.4959025143,7.80343912544081e-08,0,0,0.0
15,0x731cf08ca9442b1e59080c41002f15ceb32fd8eb,6575811.09593599,3882644.24511472,58693455679297,7693,6797,1.3029191336467885,1657.3941493109187,0.0,0,658.839028264392,1181.0081391715487,1847.86124623,1786.5052977,1719.89763743,1941.42439258,2182339.1718573114,1177019.4143258564,3217705.429591596,0.0,0.00019053464591586579,1.0,2369466503924.0,100021167,6,0.76,0,1513061495291.0,99974555,6,0,0,0.0,99990000,18,0.77,0,0.0,100695210,18,0,0,2369968.048898886,1512676.4967935232,0.0,0.0,3882644.5456924094,7.741571734419909e-08,0,0,0.0
16,0x60ee8465dc43245c6c2989b1089e476d3a0a717d,4357301.27776703,3214192.29640402,0,7971,7129,1.080584024917818,1600.3536094320689,0.0,0,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,3106965.5341048646,0.0,0.2869518685893852,1.0,0.0,100021167,6,0.76,0,0.0,99974555,6,0,0,0.0,99990000,18,0.77,0,0.0,100695210,18,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1250662987438,0,1250927.7152725512
17,0x7b7d80c40415f744864f051b806b466e2fbb8e68,3062470.69739293,1200873.68986614,91223109133498,8000,6900,2.0401617410632387,1577.73550979974,0.0,0,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,3063054.203764857,0.0,0.00019053451594613422,1.0,1200619641871.0,100021167,6,0.76,0,0.0,99974555,6,0,0,0.0,99990000,18,0.77,0,0.0,100695210,18,0,0,1200873.7770305949,0.0,0.0,0.0,1200873.7770305949,7.258419898459835e-08,0,0,0.0
18,0x965ed9d88fded99baef0733eb4dc4e0c96316ae7,2990147.56763129,784101.59441288,127910022725271,8000,6900,3.050775653499597,1540.475799820497,0.0,0,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,2990717.293950698,0.0,0.00019053451594677157,1.0,500215143916.0,100021167,6,0.76,0,0.0,99974555,6,0,0,0.0,99990000,18,0.77,0,0.0,100695210,18,0,0,500321.02445551276,0.0,0.0,0.0,500321.02445551276,0.3619181136468121,0,0,0.0
19,0xcdd7152eee446ed547d8e8f19f2d83cf94d4c235,4724413.63819439,2233205.25854094,111073471457305,7945,7078,1.6807889114491035,1531.9056899451705,0.0,0,0.0,470.0474984252279,1847.86124623,1786.5052977,1719.89763743,1941.42439258,868582.5562273356,0.0,2974079.073591648,0.0,0.18663734293858322,1.0,1004970147431.0,100021167,6,0.76,0,301453029641.0,99974555,6,0,0,1.4698471275980421e+23,99990000,18,0.77,0,0.0,100695210,18,0,0,1005182.8694621068,301376.3249176078,146970.01428852824,0.0,1453529.2086682431,0.3491287005038205,0,0,0.0
