,user,collateral,debt,available_borrow,threshold,ltv,healthf,amount,ethdebt,collateral_steth_calc,diff_collateral,diff_debt
622,0x53e3aea8ba8f0d6cb821e650cee22c1f1e7dd12c,15.207993733283894,8.100155800146446,2849599687817957757,8300,7200,1.5583200014989123,15.211935904145534,0.0,15.207993733283896,1.1680415382553408e-16,1.0
623,0x86341e73d9deb4696b1ae50dbce8f2d62fa06023,15.257427166252468,11.767615423078755,0,8300,7200,1.0761453440391544,15.261382151101436,0.0,15.257427166252466,1.1642571319818135e-16,1.0
624,0x3651ff0473d268c892c183a21a9a2a66fa9c5a22,14.751673056570986,5.231112361209622,5390092239521488003,8300,7200,2.3405898767815208,14.755496941345266,0.0,14.751673056570986,0.0,1.0
625,0xa0444f714a29c1602ab803d62f61a5782713fa31,15.032301608574521,9.731506911473314,1091750246700340186,8300,7200,1.2821046574407569,15.036198237046625,9.731506911473314,15.032301608574521,0.0,0.0
626,0x0af531b8006cf8246c3759be1a1f65712e283295,38.28715761357468,17.562360932588977,12408826047317277356,8479,7828,1.8484804557404282,15.383755987218931,0.0,15.379769289209058,0.5983047515714205,1.0
627,0x9791e05431b94d97fadb2552e633de19cdbef243,14.991988918418452,4.146097382689244,6648134638572041258,8300,7200,3.001220100193667,14.995875097155023,0.0,14.991988918418452,0.0,1.0
628,0x0febfabfc01f9d4f1479373eac8510db0b8cc167,14.126513229463782,7.561524665070146,2609564860143777854,8300,7200,1.5506139964890495,14.130175062168767,0.0,14.126513229463782,0.0,1.0
629,0x008e6f88ae8c3dfbcc51b0f5064877b4a322ebd9,14.528234820131066,3.3421226580573773,7118206412436990194,8300,7200,3.6080168606731506,14.532000785910867,0.0,14.528234820131066,0.0,1.0
631,0xd45b45701be8e0054c1753f190e05ed686f9681f,84.30125794250225,19.687604026541056,48368801510441008817,8549,8073,3.6606356628205257,14.213341147975763,0.0,14.209657762792368,0.831441924953432,1.0
632,0xb0a0d70fd0c36d4bc5c7d7b7952c2647e6b0654c,13.904239855284686,6.193907271273462,3817145424531512958,8300,7200,1.863205013321675,13.90784407094732,0.0,13.904239855284686,0.0,1.0
633,0x97b90fbc8904f861f76cb06bfa0a465b72c5e662,42.58604045031349,22.226583672168545,11071441355931569961,8423,7819,1.6138432428648337,13.424871482562885,0.0,13.42139242917262,0.6848405654235032,1.0
634,0x9fb5894dc67139370e80d0b835d4feb3037e7169,13.572580715826328,2.9981264391089653,6774131676285990639,8300,7200,3.7574272542968035,13.576098959794173,0.0,13.572580715826327,1.3087834042710292e-16,1.0
635,0x91d48c6b07b04273555d2ae1c07b1055d9fbbecd,13.372063182032608,7.196630790129247,2431254700934230586,8300,7200,1.5422234049174748,13.37552944844228,7.196630790129247,13.372063182032608,0.0,0.0
636,0xbe8683952a47717c1677b0ef2fcd780437d8358a,13.503636685156751,5.343754770045241,4378863643267620093,8300,7200,2.0974050889287374,13.507137057658213,0.0,13.503636685156751,0.0,1.0
637,0x858076f2ac4c8f189ef5d783a000c9c6d50a7f06,13.290115276847292,7.457891734428998,2110991264901052203,8299,7200,1.4788987372045863,13.29355658659634,0.0,13.29011156344127,2.7941112205829925e-07,1.0
638,0xa7ca87c267c3a169fd4b37fdeb5fdafdeba1837f,13.593087917735412,7.781621817065324,2005401483704172223,8300,7200,1.4498600981839107,13.596611477519087,7.781621817065324,13.593087917735412,0.0,0.0
639,0x69d1547611fe59b3e9a255383ae14a85e9965422,13.001292186098409,4.10882504336352,5252105330627334522,8300,7200,2.626315893369851,13.004662342354294,0.0,13.001292186098409,0.0,1.0
640,0x42c346856991768ca48e6e90c732f6269e5ab0f7,75.30159654235234,22.390675918991974,31826473591501710189,8217,7200,2.763441447802284,13.153132891363049,0.0,13.149724258987108,0.8253725702669368,1.0
641,0x6224162138328727d3e2bbfa52002e0af562f9b5,13.27944328724137,2.0751720367983104,7486027130015476294,8300,7200,5.311336955665415,13.282885544997644,2.0751720367983104,13.27944328724137,0.0,0.0
642,0x7725ad7692a574542d2d384c0d738272a1c3dc8a,17.000083155964337,10.405973232405772,1912287022405987598,8295,7246,1.3551417693405172,13.145066283263597,10.405973232405772,13.141659741347912,0.22696497300736612,0.0
643,0x85fe45c1180e9cbc01e71cb97ed77a5f044b5acf,12.555331694949748,5.832198505906174,3207640314457644499,8300,7200,1.7867919441108162,12.558586250654733,0.0,12.555331694949746,1.4148227084392933e-16,1.0
644,0xff0c29d39b98d7caea5259f35325a2dca643491e,15.437201645955012,10.008963534450649,1315767593021949269,8338,7336,1.2860011616681104,13.440189263273915,0.0,13.436706240283122,0.12958925144286607,1.0
645,0xbd54f93184170d8e697ee61961bc2e2c4c8ab1d5,12.700149478953735,6.8954185147563285,2248689110090360237,8300,7200,1.5287141810135803,12.70344157389357,6.8954185147563285,12.700149478953735,0.0,0.0
646,0xa150c61f207b96ad865bc01d036158297c66f289,22.83373164404888,7.701341090050665,9784730602961966003,8427,7658,2.498524014382202,12.662608236334355,0.0,12.6593267233477,0.4455866031583549,1.0
647,0x09cfb51942f737913bfbf1bb45096c63ad853539,12.809489783998824,6.738360264932021,2484472379547131780,8300,7200,1.5778136078668512,12.812810221807029,0.0,12.809489783998824,0.0,1.0
648,0x4a3fced7c536e39ca5292a024ee66c9b45b257ec,63.1075169905302,5.427899298957858,45354719623321795213,8542,8047,9.93136350625753,12.18102364545075,0.0,12.177866935037125,0.8070298513429943,1.0
649,0xfa95a23d38f162efa06f7e84618bba4b99a08cf4,12.552327969209275,5.8975100296221585,3131379478630073008,8294,7193,1.76530447008484,12.475353482901085,0.0,12.472120496955124,0.006389848357284658,1.0
650,0xfbd25c369b45caf7cb64cacdc904bc9f60bd56d5,12.206490273410887,3.638087140157615,5150585856698224420,8300,7200,2.7848115057772116,12.209654403481077,0.0,12.206490273410889,1.455256015129629e-16,1.0
651,0xf190426aff20ee058b4fc12302165ed92b769a93,18.091055243989658,3.552730242775041,9472829532897512592,8268,7200,4.2101942600762134,12.45688037506754,0.0,12.453652176424649,0.3116127274796702,1.0
652,0xcd9782e02d725dc66a7056ac7b49c0e84a49f333,12.32320466520849,7.744097627478296,1128609731471817122,8300,7200,1.3207813697789947,12.326399049635864,0.0,12.32320466520849,0.0,1.0
653,0x24d7b8e8a8764de80904412bd1089a1fdbe63686,12.776891195969352,3.802601053198101,5396760607899832666,8300,7200,2.7888331024722124,12.780203183668613,0.0,12.776891195969352,0.0,1.0
654,0x46bdb2d3253c9ba0decfcf0d280520a998f44f1a,16.980646023131253,11.111829675317379,1357058699467900234,8314,7343,1.2705116543489576,11.984486196199702,0.0,11.981380418435974,0.2944096236318227,1.0
655,0xed1aab3ca1cacb795fb4ca5822724c76ca1993c3,24.93291926053192,7.808463093593206,11454710327093756416,8450,7726,2.698138740315734,12.43027453798485,0.0,12.427053234240567,0.5015804966764471,1.0
656,0x26bb5d5c90c9427f506ebf16fbfddb060478685f,12.880923336983516,8.79491575486353,479349047764601993,8300,7200,1.2156075928054426,12.884262291584669,8.79491575486353,12.880923336983516,0.0,0.0
657,0x72256119213bc05e8e74ca53c3c9ffe8d87e4f96,12.89133349232113,8.170276373353351,1058629273799345434,8224,7159,1.2976100415234246,12.1420663076076,8.170131784834188,12.138919692982114,0.05836586259964488,1.7696894518090396e-05
658,0x62baa4d7ba991dc8d257f57edb992111d27b1a63,11.769257887403498,4.085915246016852,4387950432913666095,8300,7200,2.390770111070633,11.772308679396218,0.0,11.769257887403498,0.0,1.0
659,0xde98ad16ffd9dfea99a5be99085d17a579fdfa67,11.828624584556378,5.901446573745464,2615163127135127200,8300,7200,1.6636189589276866,11.830517246730361,0.0,11.827451369996325,9.918436008060415e-05,1.0
660,0xef4f8d142f4cfc19b57f628490126a1ced480847,19.60022217390176,6.295931692898791,7816228272310474690,8260,7200,2.5714674658721886,11.820646837862654,0.0,11.817583519043565,0.39706889982201293,1.0
