,Unnamed: 0,user,collateral,debt,available_borrow,threshold,ltv,healthf,amount,ethdebt,collateral_steth_calc,diff_collateral,diff_debt,usdc,usdc_price,usdc_decimals,usdc_threshold,usdt,usdt_price,usdt_decimals,usdt_threshold,dai,dai_price,dai_decimals,dai_threshold,fei,fei_price,fei_decimals,fei_threshold,tusd,tusd_price,tusd_decimals,tusd_threshold,susd,susd_price,susd_decimals,susd_threshold,usdp,usdp_price,usdp_decimals,usdp_threshold,frax,frax_price,frax_decimals,frax_threshold,gusd,gusd_price,gusd_decimals,gusd_threshold,busd,busd_price,busd_decimals,busd_threshold,wbtc,wbtc_price,wbtc_decimals,wbtc_threshold,fei_debt,usdc_debt,usdt_debt,dai_debt,frax_debt,gusd_debt,susd_debt,tusd_debt,wbtc_debt,debt_stable_calc,debt_wbtc_calc,usdc_collateral,dai_collateral,fei_collateral,tusd_collateral,wbtc_collateral,weth_collateral,collateral_stable_calc,collateral_wbtc_calc,collateral_eth_calc,eth_wbtc_stablec_debt_diff,eth_steth_wbtc_stablec_collateral_diff
13,146,0xf78181c819966f6e62ad14e445979f24f4d07d8b,743.672494699591,403.3735086520456,134227337766288738893,8310,7229,1.532058575587934,454.056896032321,403.3735086520456,453.93922725719966,0.3895979339123333,0.0,0.0,580223303700951,6,0.875,0.0,580844896987157,6,0,0.0,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,15472525091899483083,8,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,125777541231484580911575,0,0,1400340778,0,73.06521549632619,216.66807824815044,0.0,0.0,-3.5367833994826015e-08
14,156,0x66ea2d335291a5afa8d3522eef6adfc3f8746e16,411.6530931804966,285.6896512561773,10700575833780288108,8300,7200,1.1959553516813797,411.7598006698276,188.62760417614768,411.6530931804966,0.0,0.339746457924702,0.0,580223303700951,6,0.875,60009059810.0,580844896987157,6,0,0.0,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,402042400.0,15472525091899483083,8,0.82,0.0,0.0,34.8559561636356,0.0,0.0,0.0,0.0,0.0,62.20611122007488,34.8559561636356,62.20611122007488,0,0,0,0,0,0,0.0,0.0,0.0,-7.106901067643889e-08,0.0
15,158,0x46eb06d5f4c8e69593ad72f81c8e61197b83807a,643.4599434705266,405.34024804077575,76997325584731030780,8466,7496,1.343940530887887,405.4098748803718,405.34024804077575,405.3048129733374,0.3701164818631756,0.0,0.0,580223303700951,6,0.875,0.0,580844896987157,6,0,0.0,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,15472525091899483083,8,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410454407104,0,0,0,0,0,238.15521210849798,0.0,0.0,0.0,-1.268319957947739e-07
16,173,0x5d8cca5e1b6983db986cf82784108478a02d0782,385.6788127637013,240.66308057748495,38876922913645682384,8311,7248,1.3318937849493302,300.600205914336,240.66308057748495,300.52230541697486,0.220796436123911,0.0,0.0,580223303700951,6,0.875,0.0,580844896987157,6,0,0.0,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,15472525091899483083,8,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40046662716,0,0,0,400196533,0,23.236006943275218,61.92050898533679,0.0,0.0,-2.225137940570221e-08
17,194,0x68b2f2ab6a244dd52bd978b2a77c9f4d6b13cd15,631.23548126533,260.23555102271536,194253995488322208745,8239,7200,1.998477575299115,249.18968862163345,260.23555102271536,249.12511115196128,0.6053372813382056,0.0,0.0,580223303700951,6,0.875,0.0,580844896987157,6,0,0.0,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,15472525091899483083,8,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2469605781,0,0.0,382.1103741362251,0.0,0.0,-6.3729883592600345e-09
18,202,0x6b62909ad3f315833a5e5062b670034a3016910b,235.7293769027695,68.33571126002501,101389440109969031478,8300,7200,2.8631498702751204,235.7904819700884,15.347250572769369,235.72937690276947,1.205692298678879e-16,0.77541390453417,0.0,580223303700951,6,0.875,91226561325.0,580844896987157,6,0,0.0,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,15472525091899483083,8,0.82,0.0,0.0,52.988482615312186,0.0,0.0,0.0,0.0,0.0,0.0,52.988482615312186,0.0,0,0,0,0,0,0,0.0,0.0,0.0,-3.2088722190515284e-07,1.1102230246251565e-16
19,207,0xaaa900e3b0b4564842c10a9751a2a117b60db1e4,217.10844382482423,118.21804395898889,38100035594884567958,8300,7200,1.5243020637113354,217.16472202930487,84.55912863921284,217.10844382482423,0.0,0.2847189328513392,58010302673.0,580223303700951,6,0.875,0.0,580844896987157,6,0,0.0,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,15472525091899483083,8,0.82,0.0,33.65892946562017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.65892946562017,0.0,0,0,0,0,0,0,0.0,0.0,0.0,-1.1965892543486234e-07,0.0
20,214,0x21748c1f240c4838aeb298f3d1000612f9c756e7,307.65077990410714,203.44948060340425,26304121828982980425,8451,7468,1.2779372713356072,204.2622173943368,203.44948060340425,204.20928287195775,0.3362302447742581,0.0,0.0,580223303700951,6,0.875,0.0,580844896987157,6,0,0.0,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,15472525091899483083,8,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178278831304,0,0,0,0,0,103.44153247915139,0.0,0.0,0.0,-1.1521830689531498e-07
21,268,0x5fcf199701b4e6c961307d731772525b9e42455d,125.1013027754047,76.67098390157422,13401954096717165424,8300,7200,1.3542813202564623,125.133731162686,57.32295504227231,125.1013027754047,0.0,0.2523513834665249,4048359372.0,580223303700951,6,0.875,0.0,580844896987157,6,0,2.926294117688015e+22,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,15472525091899483083,8,0.82,0.0,2.348952449390547,0.0,16.99908490984125,0.0,0.0,0.0,0.0,0.0,19.3480373592318,0.0,0,0,0,0,0,0,0.0,0.0,0.0,-1.1086240792046453e-07,0.0
24,309,0x7568614a27117eeeb6e06022d74540c3c5749b84,90.62937093421614,48.91415696940927,16338990103226352149,8300,7200,1.5378447168667997,90.65286360994784,30.17876003617944,90.62937093421614,0.0,0.3830260622695977,0.0,580223303700951,6,0.875,0.0,580844896987157,6,0,0.0,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,121088181.0,15472525091899483083,8,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.73539918854966,0.0,18.73539918854966,0,0,0,0,0,0,0.0,0.0,0.0,-4.610771142665726e-08,0.0
25,325,0xe41db1e904d33b4de80af9d27436f1e86f4a3eff,85.53314965060541,14.60416252584085,46979705222595047575,8300,7200,4.861115047465895,85.55532129902731,7.500060726418869,85.53314965060541,0.0,0.4864436277569401,12243742778.0,580223303700951,6,0.875,0.0,580844896987157,6,0,0.0,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,15472525091899483083,8,0.82,0.0,7.10410488431582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.10410488431582,0.0,0,0,0,0,0,0,0.0,0.0,0.0,-2.1123387483612532e-07,0.0
26,336,0x5404e069bf0668487235ff669e3a46f355cd87a7,80.10285147687749,55.20120284476488,2472850218586914018,8300,7200,1.2044188042926605,80.1236154995727,28.012729002389676,80.10285147687749,0.0,0.4925340833393394,28459242953.0,580223303700951,6,0.875,0.0,580844896987157,6,0,1.837771892736285e+22,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,15472525091899483083,8,0.82,0.0,16.51271596701767,0.0,10.675769144567736,0.0,0.0,0.0,0.0,0.0,27.188485111585408,0.0,0,0,0,0,0,0,0.0,0.0,0.0,-2.0414791035427982e-07,0.0
