,user,collateral,debt,available_borrow,threshold,ltv,healthf,amount,ethdebt,emode,cbeth_collateral,reth_collateral,reth_price,cbeth_price,eth_price,steth_price,collateral_reth_calc,collateral_cbeth_calc,collateral_steth_calc,ethdebt_calc,diff_collateral,diff_debt
26,0x4b441cd7c5085d0c255eff3db7ec3417cca1a1a0,4442010.05160895,3991277.97190043,653107454763,9300,9000,1.0350242145698836,2288.4519349938496,2321.0907214596873,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,4442856.4078439595,3992038.4480992104,0.00019053451594578397,0.0004187093284960087
30,0xcdb238d68d8da74487711bc1f8f13f3d00667d1a,3143412.91856503,2611076.51660182,21799511010671,9300,9000,1.1196048816179844,1619.4356366594059,1518.447354048873,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,3144011.8472238923,2611574.0167904915,0.000190534515947572,0.0004187093284949945
33,0x2a8b9ebc6b62e09f3b2b896bb004533bb4bfcb40,3043305.62514296,2673822.32910416,6515273352450,9300,9000,1.0585124525948617,1567.8619736831683,1554.9365999082115,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,3043885.479907125,2674331.78453557,0.00019053451594683407,0.00041870932849607937
34,0x72c3a64ddc070d9cea39b425ba1bf7757a203219,3011004.94147372,2646057.28964846,6384715767789,9300,9000,1.0582668056830256,1551.2211824229778,1538.7900984830314,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,3011578.6418427587,2646561.454881643,0.0001905345159472985,0.00041870932849727953
39,0xf24b73a328df29cdde804acf605b8722ad5030da,3147443.20100697,2479496.82105066,32676353696715,9209,8916,1.1689792941856325,1517.2452477817033,1441.9283987481092,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,2945616.933569485,2479969.246350096,0.06412387914511507,0.00041870754699517814
41,0x6c9c50c5ca694a9a519d178cc1f5332468e76e14,2695380.33686812,2333965.67499283,9187662818848,9300,9000,1.074010530722587,1388.6164767267928,1357.2961118144833,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,2695893.899855893,2334410.376002655,0.00019053451594513922,0.00041870932849526985
44,0x07499c08287a6cd6514cace69100916c67631dc7,2349982.17453884,1874341.65781511,24064229926985,9300,9000,1.166000559827872,1210.6729142984595,1090.0060234914076,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,2350429.927254945,1874698.7845873411,0.00019053451594492734,0.0004187093285001594
45,0xcde43769f216a1618d0cdfbf748fdd90969f29d8,2138822.25954615,1922430.21212861,250982146293,9300,9000,1.0346823977425348,1101.8867318171467,1117.9714766648733,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,2139229.7790100654,1922796.501430044,0.0001905345159451688,0.0004187093284981556
46,0x927f1ed8d3c6183d468e5324a38a9d7f52f15b9c,2100033.41047843,1744279.53190737,14575053752322,9300,9000,1.119677801647595,1081.9033423889643,1014.3695993227218,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,2100433.5393277667,1744611.877355965,0.00019053451594644872,0.0004187093284964696
47,0xcf05eadfdb008c106a56680aa3cf656801972401,2071237.1580018,1858044.37868905,606906351257,9300,9000,1.0367085840547807,1067.0679775574863,1080.5284918258958,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,2071631.8001711117,1858398.4002671593,0.0001905345159471592,0.0004187093284979649
48,0x329c54289ff5d6b7b7dae13592c6b1eda1543ed4,2069955.13808391,1431558.47364073,43140115063479,9300,9000,1.3447290584800526,1057.6253825371205,832.5095655546078,1,9.543671740476345,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,17049.82012387077,2053299.7158693192,1431831.2349352457,0.00019053452030120163,0.0004187093284997583
49,0xce7d58beb5e5956ede8ad6013c2f30ea2fa8bca8,1845540.53759712,1586599.11984494,7438736399247,9300,9000,1.081780948002203,950.7927189052502,922.6720167512486,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,1845892.176770112,1586901.421733246,0.00019053451594718267,0.00041870932849780607
50,0x008f9cf207a5b0f69c759f5eb0548db102a8cdac,1780307.01334221,1547192.23740328,5508407460471,9300,9000,1.0701226921788782,917.1854593373564,899.7553094106551,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,1780646.2232772354,1547487.0309204843,0.00019053451594762053,0.0004187093284948829
51,0x33181b519cd503db862ab291fbe89e9f01083490,1747776.66203175,1444901.58385578,12809741197280,9300,9000,1.124943258316595,900.4263470126346,840.2691276631872,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,1748109.6738120322,1445176.8874732826,0.00019053451594617997,0.0004187093284995373
55,0xaa2781c77246875b9bf40315bbef62da49f83250,1637821.12856774,1401492.02123281,7254699447816,9300,9000,1.086822919068889,843.7790296055422,815.0246987519068,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,1638133.1900236814,1401759.053830502,0.00019053451594814162,0.0004187093284994653
57,0x74b3691ebc3fb083e36065a1986d6c490b13e95a,1381853.00520748,1189542.57637975,5412512830698,9300,9000,1.0803508175000345,711.9083808688595,691.7674630167737,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,1382116.2959009367,1189769.225293494,0.0001905345159467527,0.0004187093284979238
59,0x6d855d3292d28c33e303eea52e31b906dd572ca9,1345233.67744044,1166934.96449201,4377534520439,9300,9000,1.072096867509857,693.0426938233531,678.6202158051218,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,1345489.9908880102,1167157.3058754657,0.00019053451594958575,0.0004187093284977146
60,0xc4f1e164713aed18546fdde94c04712de3bce690,1342686.27627136,1206767.80796728,164984067694,9300,9000,1.0347460619087188,691.7303138271687,701.7846368378647,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,1342942.1043510837,1206997.738882114,0.00019053451595125233,0.00041870932850074675
61,0xc38d57e5e4e74ea1cb8b6cd93791ddd5493affe5,1328843.79729781,1160226.40557641,3573301199162,9300,9000,1.0651582532057544,684.5988919204001,674.7189155291238,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,1329096.9879075037,1160447.468747872,0.00019053451595185268,0.00041870932849954703
62,0x310a2c115d3d45a89b59640fff859be0f54a08e2,1321963.95398632,1077750.8489491,11201670963859,9300,9000,1.1407334806612093,681.0545076088555,626.7560197893126,1,0.0,0.0,1847.86124623,1786.5052977,1719.89763743,1941.42439258,0.0,0.0,1322215.8337483932,1077956.1976806691,0.00019053451594784317,0.00041870932850276337
