,Unnamed: 0,user,collateral,debt,available_borrow,threshold,ltv,healthf,amount,ethdebt,collateral_steth_calc,diff_collateral,diff_debt,usdc,usdc_price,usdc_decimals,usdc_threshold,usdt,usdt_price,usdt_decimals,usdt_threshold,dai,dai_price,dai_decimals,dai_threshold,fei,fei_price,fei_decimals,fei_threshold,tusd,tusd_price,tusd_decimals,tusd_threshold,susd,susd_price,susd_decimals,susd_threshold,usdp,usdp_price,usdp_decimals,usdp_threshold,frax,frax_price,frax_decimals,frax_threshold,gusd,gusd_price,gusd_decimals,gusd_threshold,busd,busd_price,busd_decimals,busd_threshold,fei_debt,usdc_debt,usdt_debt,dai_debt,frax_debt,gusd_debt,susd_debt,tusd_debt,debt_stable_calc,diff_debt_stable,usdc_collateral,dai_collateral,fei_collateral,tusd_collateral,collateral_stable_calc
388,577,0xe2878db4b7fc72c0b7e3905a7d2b16ae943e865f,20.247099376815942,9.297148128167557,5280763423139920233,8300,7200,1.807553483185114,20.252347769641176,0.0,20.247099376815942,0.0,1.0,10236973944.0,580223303700951,6,0.875,5780231821.0,580844896987157,6,0,0.0,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,5.939730841688235,3.357418156630632,0.0,0.0,0.0,0.0,0.0,9.297148998318868,9.359335777055472e-08,0,0,0,0,0.0
389,565,0x908a2402bacbe7046f9c140301eee04489350755,73.37373655562541,33.86492395014836,24547907721785031973,8517,7961,1.845343326812709,20.198264403918987,0.0,20.193030026789703,0.7247921262469555,1.0,58365333799.0,580223303700951,6,0.875,0.0,580844896987157,6,0,0.0,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,33.86492679846456,0.0,0.0,0.0,0.0,0.0,0.0,33.86492679846456,8.410815284809863e-08,0,0,0,0,0.0
390,580,0x04a38539567837666eb4ee6e027005d14410386d,20.03628365593053,0.0039092690142677,14422214963255713543,8300,7200,4254.02175540415,20.04147740173219,0.0,20.03628365593053,0.0,1.0,6737526.0,580223303700951,6,0.875,0.0,580844896987157,6,0,0.0,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,0.0039092695944910535,0.0,0.0,0.0,0.0,0.0,0.0,0.0039092695944910535,1.4842246763286435e-07,0,0,0,0,0.0
391,573,0xb0945c6ebe7ec1ccba470698fdeda9eaade227ba,27.738179488992174,5.040714256574971,15740729816577964474,8383,7492,4.613020036851259,20.022943805123184,0.0,20.017754862300247,0.2783320595987836,1.0,1728399804.0,580223303700951,6,0.875,0.0,580844896987157,6,0,0.0,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,6.969662342712689e+21,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,1.0028578443929563,0.0,0.0,0.0,0.0,4.037857233763357,0.0,5.040715078156313,1.6298907254146362e-07,0,0,0,0,0.0
392,567,0xac8f599d034d646966f8246bd7cd70a63acd4d66,220.49262579823196,87.42568135836811,92364005717510197704,8572,8154,2.1619079874194576,20.012668758147168,0.0,20.00748247810108,0.9092600833897752,1.0,150675934856.0,580223303700951,6,0.875,0.0,580844896987157,6,0,0.0,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,87.4256887103776,0.0,0.0,0.0,0.0,0.0,0.0,87.4256887103776,8.409439166913274e-08,0,0,0,0,0.0
393,575,0xbd751395b14b4cdbfe828429857ec6b8c93f79d0,145.34175130151056,109.9594910255684,6764469444674724567,8490,8031,1.122187322841372,19.971676645987127,0.0,19.96650098904064,0.862623775960837,1.0,3250986604.0,580223303700951,6,0.875,160387661225.0,580844896987157,6,0,2.567161005000245e+22,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,1.8862981876604155,93.16035456224616,14.912850911825247,0.0,0.0,0.0,0.0,109.95950366173182,1.1491653245098299e-07,0,0,0,0,0.0
394,574,0xe5f506c05fd0f767a09750f25613e80a37136d8b,19.840850431913285,13.811825515998455,473586794979107018,8300,7200,1.1923047999276408,19.845993518096417,0.0,19.840850431913285,0.0,1.0,23804329452.0,580223303700951,6,0.875,0.0,580844896987157,6,0,0.0,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,13.81182667702529,0.0,0.0,0.0,0.0,0.0,0.0,13.81182667702529,8.406034627473671e-08,0,0,0,0,0.0
395,586,0x642666a8136da2a5b49312fcb9a4690f59cb210c,19.499514273412053,4.474463439604476,9565186837252202431,8300,7200,3.617103383542822,19.50456887945233,0.0,19.499514273412053,0.0,1.0,0.0,580223303700951,6,0.875,0.0,580844896987157,6,0,0.0,580908282837672,18,0.87,0.0,564993868543894,18,0.075,7.669285444889477e+21,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.474464328174057,4.474464328174057,1.9858684587851118e-07,0,0,0,0,0.0
396,584,0x99bff024fb9e3d6e66118bbd1d342466d37ec8bb,25.69701437613685,5.934736224043133,12746993227408356757,8302,7270,3.59471095760595,19.328627298798,0.0,19.323618287991422,0.248020878801546,1.0,4860513070.0,580223303700951,6,0.875,0.0,580844896987157,6,0,5.361524461670595e+21,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,2.820182951157052,0.0,3.1145539684212387,0.0,0.0,0.0,0.0,5.934736919578291,1.1719731614205624e-07,0,0,0,0,0.0
397,587,0xc3ad78caa7984ecabb06c6bd4934c3d8e9efd593,34.67093184446988,15.416471937344786,9293501188208895321,8203,7127,1.844816732881948,19.053099008192348,0.0,19.04816140050012,0.4506014004484174,1.0,26569896686.0,580223303700951,6,0.875,0.0,580844896987157,6,0,0.0,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,15.41647323414387,0.0,0.0,0.0,0.0,0.0,0.0,15.41647323414387,8.411775984716801e-08,0,0,0,0,0.0
398,583,0xe24962ca41568da2e7c56a0f599c7a38081a6cd8,18.94819508922664,13.587159694878377,55540769364802688,8300,7200,1.1574900330336395,18.95310678394926,0.0,18.94819508922664,0.0,1.0,0.0,580223303700951,6,0.875,0.0,580844896987157,6,0,2.33895127644376e+22,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,0.0,0.0,13.587161696399258,0.0,0.0,0.0,0.0,13.587161696399258,1.4730973407435393e-07,0,0,0,0,0.0
399,589,0x00b591bc2b682a0b30dd72bac9406bfa13e5d3cd,18.65545634519029,10.043929463515452,3387999105021556958,8300,7200,1.5416305762354898,18.66029215704716,0.0,18.65545634519029,0.0,1.0,17310456584.0,580223303700951,6,0.875,0.0,580844896987157,6,0,0.0,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,10.043930307740359,0.0,0.0,0.0,0.0,0.0,0.0,10.043930307740359,8.405324927234848e-08,0,0,0,0,0.0
400,590,0x5f0d1b67edb515411a26d4413ef86bedb38a5f67,18.379379254019184,7.069988107994419,6163164954899392948,8300,7200,2.157695960419848,18.38414350199435,0.0,18.37937925401918,1.9329889381457742e-16,1.0,12184944413.0,580223303700951,6,0.875,0.0,580844896987157,6,0,0.0,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,7.069988702723306,0.0,0.0,0.0,0.0,0.0,0.0,7.069988702723306,8.41202103169222e-08,0,0,0,0,0.0
401,591,0x17f1b17d7322d1f393918ca00e75054604884daa,59.31858176029799,23.97127490401536,18738103963399190854,8230,7200,2.0365705613992056,17.92865509536109,0.0,17.924008887136793,0.6978348376640833,1.0,0.0,580223303700951,6,0.875,41269670567.0,580844896987157,6,0,0.0,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,0.0,23.97127754918302,0.0,0.0,0.0,0.0,0.0,23.97127754918302,1.103473917173088e-07,0,0,0,0,0.0
402,599,0x4178824eac1d03445477772e71f4a53a5ee53184,47.08223867223927,13.629318318205351,23372613054307488649,8488,7859,2.93216456259706,17.52934943583174,0.0,17.524806707608004,0.6277830621095547,1.0,23489782946.0,580223303700951,6,0.875,0.0,580844896987157,6,0,0.0,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,13.629319464146379,0.0,0.0,0.0,0.0,0.0,0.0,13.629319464146379,8.407911537821752e-08,0,0,0,0,0.0
403,594,0x4193e3daf7ea4097897941f20a60982d9aebffd1,19.866675172547875,14.01544999276062,288556131473849346,8287,7200,1.174668934924979,17.429269935627836,0.0,17.424753142991264,0.122915485774434,1.0,5523243154.0,580223303700951,6,0.875,10342307969.0,580844896987157,6,0,8.268879231742869e+21,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,3.2047143899575405,6.007276806863259,4.803460435503839,0.0,0.0,0.0,0.0,14.015451632324638,1.1698261688667709e-07,0,0,0,0,0.0
404,600,0xa4cdf5ada61c413e68acfa80ffaaa23c98d1f940,17.372547084292364,8.518964151097924,3989269749592576767,8300,7200,1.6926018027795449,17.377050344229815,0.0,17.37254708429236,2.0450160022952175e-16,1.0,14682217714.0,580223303700951,6,0.875,0.0,580844896987157,6,0,0.0,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,8.518964867673704,0.0,0.0,0.0,0.0,0.0,0.0,8.518964867673704,8.41153651238357e-08,0,0,0,0,0.0
405,595,0x6717acfa83bfc9855e3f68208f82e16ad5948816,17.367621365949997,9.121020240702116,3383667142781879663,8300,7200,1.5804290916285533,17.372123349057404,0.0,17.367621365949994,2.045595999556828e-16,1.0,0.0,580223303700951,6,0.875,15703023810.0,580844896987157,6,0,0.0,580908282837672,18,0.87,0.0,564993868543894,18,0.075,0.0,583426495248742,18,0.825,0.0,579347611866053,18,0,0,579142608809052,18,0,0.0,577606946186631,18,0,0.0,581540734020714,2,0,0,582048488379007,18,0,0.0,0.0,9.121021247306324,0.0,0.0,0.0,0.0,0.0,9.121021247306324,1.1036092250898813e-07,0,0,0,0,0.0
